Station_Code,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb
gndblwq,P,8/7/2018 8:45,0,0,,31.3,<0> ,38.14,<0> ,24.1,<0> ,79.7,<0> ,5.2,<0> ,0.89,<0> ,0.82,<3> ,7.8,<0> ,14,<0> 
gndblwq,P,8/7/2018 9:00,0,0,,31.4,<0> ,38.08,<0> ,24,<0> ,82.9,<0> ,5.4,<0> ,0.88,<0> ,,<-1> [GCU],7.8,<0> ,8,<0> 
gndblwq,P,8/7/2018 9:15,0,0,,31.7,<0> ,37.8,<0> ,23.8,<0> ,81.6,<0> ,5.3,<0> ,0.87,<0> ,0.79,<3> ,7.8,<0> ,12,<0> 
gndblwq,P,8/7/2018 9:30,0,0,,31.6,<0> ,38.12,<0> ,24,<0> ,82.7,<0> ,5.3,<0> ,0.85,<0> ,0.77,<3> ,7.8,<0> ,11,<0> 
gndblwq,P,8/7/2018 9:45,0,0,,31.6,<0> ,38.23,<0> ,24.1,<0> ,85.9,<0> ,5.5,<0> ,0.84,<0> ,0.76,<3> ,7.9,<0> ,8,<0> 
gndblwq,P,8/7/2018 10:00,0,0,,31.7,<0> ,38.22,<0> ,24.1,<0> ,88.5,<0> ,5.7,<0> ,0.81,<0> ,,<-1> [GCU],7.9,<0> ,10,<0> 
gndblwq,P,8/7/2018 10:15,0,0,,31.7,<0> ,38.06,<0> ,24,<0> ,89.9,<0> ,5.8,<0> ,0.79,<0> ,0.72,<3> ,7.9,<0> ,9,<0> 
gndblwq,P,8/7/2018 10:30,0,0,,31.7,<0> ,37.87,<0> ,23.9,<0> ,90.5,<0> ,5.8,<0> ,0.76,<0> ,0.69,<3> ,7.8,<0> ,10,<0> 
gndblwq,P,8/7/2018 10:45,0,0,,31.6,<0> ,37.72,<0> ,23.8,<0> ,93.6,<0> ,6.1,<0> ,0.74,<0> ,0.67,<3> ,7.9,<0> ,11,<0> 
gndblwq,P,8/7/2018 11:00,0,0,,32.3,<0> ,37.51,<0> ,23.6,<0> ,83.6,<0> ,5.4,<0> ,0.72,<0> ,,<-1> [GCU],7.7,<0> ,9,<0> 
